Question,Answer
What are your business hours?,"We are open Monday to Friday, 9 AM – 6 PM, and Saturday 10 AM – 4 PM."
Do you deliver products?,"Yes, we deliver across Nigeria within 2–3 business days."
What payment methods do you accept?,"We accept debit/credit cards, bank transfer, and cash on delivery."
Do you have a refund policy?,"Yes, refunds are processed within 7 business days of product return."
Can I track my order?,"Yes, you will receive a tracking ID via email once your order is shipped."
Do you offer discounts?,"Yes, we offer seasonal discounts and promotions which are announced on our website."
How can I contact customer support?,You can reach us via email at support@mybusiness.com or call 08012345678.
Do you sell internationally?,"Currently, we only ship within Nigeria but plan to expand soon."
Can I cancel my order?,"Yes, orders can be canceled within 24 hours of purchase."
Where are you located?,"Our head office is located at 15 Allen Avenue, Ikeja, Lagos."
